label,workload,mode,category,n_base,n_curr,baseline_ns,current_ns,delta_pct,limit_pct,verdict
clang-17,exact_chain.FP128.div,nearest_even,common,27,27,4.0366,4.0210,-0.39,3.0,PASS
clang-17,exact_chain.FP128.div,toward_zero,common,27,27,4.1301,4.0367,-2.26,3.0,PASS
clang-17,exact_chain.FP128.mul,nearest_even,common,27,27,3.6831,3.6313,-1.41,3.0,PASS
clang-17,exact_chain.FP128.mul,toward_zero,common,27,27,3.6748,3.6913,+0.45,3.0,PASS
clang-17,exact_chain.FP128.mul_div,nearest_even,common,27,27,3.7798,3.7949,+0.40,3.0,PASS
clang-17,exact_chain.FP128.mul_div,toward_zero,common,27,27,3.7670,3.8400,+1.94,3.0,PASS
clang-17,exact_chain.FP64.div,nearest_even,common,27,27,3.7093,3.7678,+1.58,3.0,PASS
clang-17,exact_chain.FP64.div,toward_zero,common,27,27,3.6973,3.8664,+4.57,3.0,FAIL
clang-17,exact_chain.FP64.mul,nearest_even,common,27,27,3.6382,3.6744,+0.99,3.0,PASS
clang-17,exact_chain.FP64.mul,toward_zero,common,27,27,3.6810,3.7378,+1.54,3.0,PASS
clang-17,exact_chain.FP64.mul_div,nearest_even,common,27,27,3.7173,3.7591,+1.12,3.0,PASS
clang-17,exact_chain.FP64.mul_div,toward_zero,common,27,27,3.6972,3.8007,+2.80,3.0,PASS
clang-17,exact_results.FP128.div,nearest_even,common,27,27,2.4606,2.4615,+0.04,3.0,PASS
clang-17,exact_results.FP128.div,toward_zero,common,27,27,2.5689,2.4649,-4.05,3.0,PASS
clang-17,exact_results.FP128.mul,nearest_even,common,27,27,2.5292,2.5225,-0.27,3.0,PASS
clang-17,exact_results.FP128.mul,toward_zero,common,27,27,2.6651,2.5895,-2.84,3.0,PASS
clang-17,exact_results.FP128.mul_div,nearest_even,common,27,27,3.1194,3.0555,-2.05,3.0,PASS
clang-17,exact_results.FP128.mul_div,toward_zero,common,27,27,3.0127,2.8528,-5.31,3.0,PASS
clang-17,exact_results.FP64.div,nearest_even,common,27,27,2.6076,2.5597,-1.84,3.0,PASS
clang-17,exact_results.FP64.div,toward_zero,common,27,27,2.5696,2.5226,-1.83,3.0,PASS
clang-17,exact_results.FP64.mul,nearest_even,common,27,27,2.6666,2.5661,-3.77,3.0,PASS
clang-17,exact_results.FP64.mul,toward_zero,common,27,27,2.6294,2.5515,-2.96,3.0,PASS
clang-17,exact_results.FP64.mul_div,nearest_even,common,27,27,2.5894,2.5192,-2.71,3.0,PASS
clang-17,exact_results.FP64.mul_div,toward_zero,common,27,27,2.6021,2.4992,-3.96,3.0,PASS
clang-17,format_2digits.FP128,nearest_even,text,27,27,15.8650,11.6656,-26.47,5.0,PASS
