label,workload,mode,category,n_base,n_curr,baseline_ns,current_ns,delta_pct,limit_pct,verdict
noise,inexact_chain.FP64.mul_div,toward_zero,common,27,27,3.6280,3.6432,+0.42,3.0,PASS
noise,native_by128.FP128.div,nearest_even,wide,27,27,9.9751,9.9856,+0.10,5.0,PASS
noise,native_by128.FP128.div,toward_zero,wide,27,27,6.0544,6.0251,-0.48,5.0,PASS
noise,native_by64.FP128.div,nearest_even,wide,27,27,6.3424,6.3727,+0.48,5.0,PASS
noise,native_by64.FP128.div,toward_zero,wide,27,27,3.9692,4.0255,+1.42,5.0,PASS
noise,parse_extra_digit.FP128,nearest_even,text,27,27,34.6026,34.5847,-0.05,5.0,PASS
noise,parse_extra_digit.FP128,toward_zero,text,27,27,34.1888,34.1398,-0.14,5.0,PASS
noise,parse_extra_digit.FP64,nearest_even,text,27,27,34.4397,34.3762,-0.18,5.0,PASS
noise,parse_extra_digit.FP64,toward_zero,text,27,27,33.8958,33.8784,-0.05,5.0,PASS
noise,throughput256.FP128.div,nearest_even,common,27,27,3.3065,3.3195,+0.39,3.0,PASS
noise,throughput256.FP128.div,toward_zero,common,27,27,2.6044,2.4634,-5.41,3.0,PASS
noise,throughput256.FP128.mul,nearest_even,common,27,27,2.6312,2.6355,+0.16,3.0,PASS
noise,throughput256.FP128.mul,toward_zero,common,27,27,2.7345,2.7412,+0.24,3.0,PASS
noise,throughput256.FP128.mul_div,nearest_even,common,27,27,4.7164,4.7136,-0.06,3.0,PASS
noise,throughput256.FP128.mul_div,toward_zero,common,27,27,3.1509,3.1455,-0.17,3.0,PASS
noise,throughput256.FP64.div,nearest_even,common,27,27,2.4461,2.4486,+0.10,3.0,PASS
noise,throughput256.FP64.div,toward_zero,common,27,27,2.4109,2.4230,+0.50,3.0,PASS
noise,throughput256.FP64.mul,nearest_even,common,27,27,2.7217,2.7201,-0.06,3.0,PASS
noise,throughput256.FP64.mul,toward_zero,common,27,27,2.4851,2.5148,+1.19,3.0,PASS
noise,throughput256.FP64.mul_div,nearest_even,common,27,27,2.4132,2.4220,+0.36,3.0,PASS
noise,throughput256.FP64.mul_div,toward_zero,common,27,27,2.5380,2.5420,+0.16,3.0,PASS
noise,throughput4096.FP128.div,nearest_even,common,27,27,3.3021,3.3212,+0.58,3.0,PASS
noise,throughput4096.FP128.div,toward_zero,common,27,27,2.6061,2.4631,-5.49,3.0,PASS
noise,throughput4096.FP128.mul,nearest_even,common,27,27,2.6298,2.6304,+0.02,3.0,PASS
noise,throughput4096.FP128.mul,toward_zero,common,27,27,2.7426,2.7497,+0.26,3.0,PASS
noise,throughput4096.FP128.mul_div,nearest_even,common,27,27,4.7110,4.7384,+0.58,3.0,PASS
noise,throughput4096.FP128.mul_div,toward_zero,common,27,27,3.1464,3.1480,+0.05,3.0,PASS
noise,throughput4096.FP128.quantize4,nearest_even,common,27,27,6.0595,6.0836,+0.40,3.0,PASS
noise,throughput4096.FP128.quantize4,toward_zero,common,27,27,5.6906,5.7084,+0.31,3.0,PASS
noise,throughput4096.FP64.div,nearest_even,common,27,27,2.4652,2.4662,+0.04,3.0,PASS
noise,throughput4096.FP64.div,toward_zero,common,27,27,2.4080,2.4033,-0.20,3.0,PASS
noise,throughput4096.FP64.mul,nearest_even,common,27,27,2.6931,2.7054,+0.46,3.0,PASS
noise,throughput4096.FP64.mul,toward_zero,common,27,27,2.5064,2.5374,+1.24,3.0,PASS
noise,throughput4096.FP64.mul_div,nearest_even,common,27,27,2.4404,2.4476,+0.30,3.0,PASS
noise,throughput4096.FP64.mul_div,toward_zero,common,27,27,2.5487,2.5460,-0.10,3.0,PASS
noise,throughput4096.FP64.mul_wide,nearest_even,common,27,27,2.4138,2.4221,+0.35,3.0,PASS
noise,throughput4096.FP64.mul_wide,toward_zero,common,27,27,2.5576,2.5638,+0.24,3.0,PASS
noise,throughput4096.FP64.quantize4,nearest_even,common,27,27,3.2206,3.2337,+0.40,3.0,PASS
noise,throughput4096.FP64.quantize4,toward_zero,common,27,27,3.1691,3.1738,+0.15,3.0,PASS
noise,wide_by128.FP128.div,nearest_even,wide,27,27,13.6609,13.6600,-0.01,5.0,PASS
noise,wide_by128.FP128.div,toward_zero,wide,27,27,12.2970,12.3135,+0.13,5.0,PASS
noise,wide_by64.FP128.div,nearest_even,wide,27,27,7.9084,7.9012,-0.09,5.0,PASS
noise,wide_by64.FP128.div,toward_zero,wide,27,27,6.4436,6.4372,-0.10,5.0,PASS
noise,wide_product.FP128.mul,nearest_even,wide,27,27,6.5837,6.7160,+2.01,5.0,PASS
noise,wide_product.FP128.mul,toward_zero,wide,27,27,5.9363,5.9582,+0.37,5.0,PASS
noise,wide_product.FP128.mul_div,nearest_even,wide,27,27,13.1179,13.1373,+0.15,5.0,PASS
noise,wide_product.FP128.mul_div,toward_zero,wide,27,27,11.9897,12.0188,+0.24,5.0,PASS
