digits,workload,pair_index,order_slot,mode,iterations,ns_per_op,cpu_ns_per_op
12,throughput4096.FP64.mul,0,0,nearest_even,1048576,2.645176888,2.643335342
12,throughput4096.FP64.mul,0,1,toward_zero,1048576,2.548645973,2.545531273
12,throughput4096.FP64.mul,1,0,toward_zero,1048576,2.549582481,2.546700478
12,throughput4096.FP64.mul,1,1,nearest_even,1048576,2.658677101,2.653289795
12,throughput4096.FP64.mul,2,0,nearest_even,1048576,2.648750305,2.646936417
12,throughput4096.FP64.mul,2,1,toward_zero,1048576,2.552324295,2.549575806
12,throughput4096.FP64.mul,3,0,toward_zero,1048576,2.562490463,2.550656319
12,throughput4096.FP64.mul,3,1,nearest_even,1048576,2.652065277,2.650137901
12,throughput4096.FP64.mul,4,0,nearest_even,1048576,2.655076027,2.651981354
12,throughput4096.FP64.mul,4,1,toward_zero,1048576,2.547079086,2.543953896
12,throughput4096.FP64.mul,5,0,toward_zero,1048576,2.550814629,2.547691345
12,throughput4096.FP64.mul,5,1,nearest_even,1048576,2.657053947,2.651014328
12,throughput4096.FP64.mul,6,0,nearest_even,1048576,2.652868271,2.649592400
12,throughput4096.FP64.mul,6,1,toward_zero,1048576,2.545885086,2.542474747
12,throughput4096.FP64.mul,7,0,toward_zero,1048576,2.548006058,2.544788361
12,throughput4096.FP64.mul,7,1,nearest_even,1048576,2.650356293,2.648092270
12,throughput4096.FP64.mul,8,0,nearest_even,1048576,2.652495384,2.649966240
12,throughput4096.FP64.mul,8,1,toward_zero,1048576,2.554225922,2.549384117
12,throughput256.FP64.mul,0,0,nearest_even,1048576,2.649007797,2.644568443
12,throughput256.FP64.mul,0,1,toward_zero,1048576,2.531934738,2.529499054
12,throughput256.FP64.mul,1,0,toward_zero,1048576,2.530653954,2.526090622
12,throughput256.FP64.mul,1,1,nearest_even,1048576,2.665261269,2.660953522
12,throughput256.FP64.mul,2,0,nearest_even,1048576,2.657999039,2.652371407
12,throughput256.FP64.mul,2,1,toward_zero,1048576,2.547824860,2.544424057
12,throughput256.FP64.mul,3,0,toward_zero,1048576,2.555983543,2.552077293
12,throughput256.FP64.mul,3,1,nearest_even,1048576,2.672073364,2.667996407
12,throughput256.FP64.mul,4,0,nearest_even,1048576,2.660712242,2.657246590
12,throughput256.FP64.mul,4,1,toward_zero,1048576,2.543810844,2.539609909
12,throughput256.FP64.mul,5,0,toward_zero,1048576,2.530081749,2.526003838
12,throughput256.FP64.mul,5,1,nearest_even,1048576,2.665404320,2.660044670
12,throughput256.FP64.mul,6,0,nearest_even,1048576,2.650202751,2.646945953
12,throughput256.FP64.mul,6,1,toward_zero,1048576,2.557914734,2.553397179
12,throughput256.FP64.mul,7,0,toward_zero,1048576,2.569016457,2.563724518
12,throughput256.FP64.mul,7,1,nearest_even,1048576,2.677921295,2.673649788
12,throughput256.FP64.mul,8,0,nearest_even,1048576,2.650059700,2.647070885
12,throughput256.FP64.mul,8,1,toward_zero,1048576,2.562872887,2.558775902
12,exact_results.FP64.mul,0,0,nearest_even,1048576,2.573966026,2.571043968
12,exact_results.FP64.mul,0,1,toward_zero,1048576,2.532183647,2.526108742
12,exact_results.FP64.mul,1,0,toward_zero,1048576,2.528924942,2.525506973
12,exact_results.FP64.mul,1,1,nearest_even,1048576,2.548320770,2.545571327
12,exact_results.FP64.mul,2,0,nearest_even,1048576,2.542913437,2.539323807
12,exact_results.FP64.mul,2,1,toward_zero,1048576,2.527854919,2.523233414
12,exact_results.FP64.mul,3,0,toward_zero,1048576,2.539989471,2.537552834
12,exact_results.FP64.mul,3,1,nearest_even,1048576,2.547690392,2.543707848
12,exact_results.FP64.mul,4,0,nearest_even,1048576,2.548301697,2.543210030
12,exact_results.FP64.mul,4,1,toward_zero,1048576,2.540046692,2.537096977
12,exact_results.FP64.mul,5,0,toward_zero,1048576,2.541374207,2.538596153
12,exact_results.FP64.mul,5,1,nearest_even,1048576,2.555917740,2.553195953
12,exact_results.FP64.mul,6,0,nearest_even,1048576,2.557579041,2.554935455
12,exact_results.FP64.mul,6,1,toward_zero,1048576,2.531266212,2.527405739
12,exact_results.FP64.mul,7,0,toward_zero,1048576,2.539960861,2.536895752
12,exact_results.FP64.mul,7,1,nearest_even,1048576,2.548282623,2.545781136
12,exact_results.FP64.mul,8,0,nearest_even,1048576,2.545837402,2.542483330
12,exact_results.FP64.mul,8,1,toward_zero,1048576,2.522389412,2.519686699
12,halfway_ties.FP64.mul,0,0,nearest_even,1048576,2.628092766,2.624138832
12,halfway_ties.FP64.mul,0,1,toward_zero,1048576,2.526717186,2.522543907
12,halfway_ties.FP64.mul,1,0,toward_zero,1048576,2.526612282,2.523717880
12,halfway_ties.FP64.mul,1,1,nearest_even,1048576,2.626746178,2.621932030
12,halfway_ties.FP64.mul,2,0,nearest_even,1048576,2.626087189,2.621771812
12,halfway_ties.FP64.mul,2,1,toward_zero,1048576,2.526153564,2.523432732
12,halfway_ties.FP64.mul,3,0,toward_zero,1048576,2.529231071,2.524313927
12,halfway_ties.FP64.mul,3,1,nearest_even,1048576,2.627157211,2.622867584
12,halfway_ties.FP64.mul,4,0,nearest_even,1048576,2.628943443,2.624550819
12,halfway_ties.FP64.mul,4,1,toward_zero,1048576,2.532555580,2.530148506
12,halfway_ties.FP64.mul,5,0,toward_zero,1048576,2.539492607,2.534523010
12,halfway_ties.FP64.mul,5,1,nearest_even,1048576,2.625694275,2.620643616
12,halfway_ties.FP64.mul,6,0,nearest_even,1048576,2.622847557,2.620643616
12,halfway_ties.FP64.mul,6,1,toward_zero,1048576,2.537992477,2.533312798
12,halfway_ties.FP64.mul,7,0,toward_zero,1048576,2.537351608,2.532462120
12,halfway_ties.FP64.mul,7,1,nearest_even,1048576,2.628131866,2.623170853
