label,workload,mode,category,n_base,n_curr,baseline_ns,current_ns,delta_pct,limit_pct,verdict
clang-22,exact_chain.FP128.div,nearest_even,common,27,27,4.0556,4.0164,-0.97,3.0,PASS
clang-22,exact_chain.FP128.div,toward_zero,common,27,27,4.0438,3.9776,-1.64,3.0,PASS
clang-22,exact_chain.FP128.mul,nearest_even,common,27,27,3.6989,3.7573,+1.58,3.0,PASS
clang-22,exact_chain.FP128.mul,toward_zero,common,27,27,3.6653,3.6727,+0.20,3.0,PASS
clang-22,exact_chain.FP128.mul_div,nearest_even,common,27,27,3.8713,3.9054,+0.88,3.0,PASS
clang-22,exact_chain.FP128.mul_div,toward_zero,common,27,27,3.9016,3.9352,+0.86,3.0,PASS
clang-22,exact_chain.FP64.div,nearest_even,common,27,27,3.7996,3.7820,-0.46,3.0,PASS
clang-22,exact_chain.FP64.div,toward_zero,common,27,27,3.7800,3.7595,-0.54,3.0,PASS
clang-22,exact_chain.FP64.mul,nearest_even,common,27,27,3.6769,3.6557,-0.58,3.0,PASS
clang-22,exact_chain.FP64.mul,toward_zero,common,27,27,3.6564,3.6845,+0.77,3.0,PASS
clang-22,exact_chain.FP64.mul_div,nearest_even,common,27,27,3.6649,3.7414,+2.09,3.0,PASS
clang-22,exact_chain.FP64.mul_div,toward_zero,common,27,27,3.6248,3.7126,+2.42,3.0,PASS
clang-22,exact_results.FP128.div,nearest_even,common,27,27,2.4490,2.4416,-0.30,3.0,PASS
clang-22,exact_results.FP128.div,toward_zero,common,27,27,2.4649,2.4446,-0.82,3.0,PASS
clang-22,exact_results.FP128.mul,nearest_even,common,27,27,2.6160,2.6210,+0.19,3.0,PASS
clang-22,exact_results.FP128.mul,toward_zero,common,27,27,2.6977,2.5577,-5.19,3.0,PASS
clang-22,exact_results.FP128.mul_div,nearest_even,common,27,27,3.3819,3.4592,+2.29,3.0,PASS
clang-22,exact_results.FP128.mul_div,toward_zero,common,27,27,3.2435,3.5216,+8.57,3.0,FAIL
clang-22,exact_results.FP64.div,nearest_even,common,27,27,2.5120,2.7118,+7.96,3.0,FAIL
clang-22,exact_results.FP64.div,toward_zero,common,27,27,2.5040,2.7069,+8.10,3.0,FAIL
clang-22,exact_results.FP64.mul,nearest_even,common,27,27,2.5913,2.4935,-3.77,3.0,PASS
clang-22,exact_results.FP64.mul,toward_zero,common,27,27,2.5212,2.4207,-3.99,3.0,PASS
clang-22,exact_results.FP64.mul_div,nearest_even,common,27,27,2.5387,2.6702,+5.18,3.0,FAIL
clang-22,exact_results.FP64.mul_div,toward_zero,common,27,27,2.5089,2.6459,+5.46,3.0,FAIL
clang-22,format_2digits.FP128,nearest_even,text,27,27,17.0735,12.0432,-29.46,5.0,PASS
clang-22,format_2digits.FP128,toward_zero,text,27,27,15.8268,11.5120,-27.26,5.0,PASS
clang-22,format_2digits.FP64,nearest_even,text,27,27,17.2448,11.4516,-33.59,5.0,PASS
clang-22,format_2digits.FP64,toward_zero,text,27,27,15.9821,11.0368,-30.94,5.0,PASS
clang-22,fullrange.FP64.mul_wide,nearest_even,common,27,27,2.9513,2.5038,-15.16,3.0,PASS
clang-22,fullrange.FP64.mul_wide,toward_zero,common,27,27,2.4882,2.6234,+5.43,3.0,FAIL
clang-22,halfway_ties.FP128.div,nearest_even,common,27,27,3.3066,3.4128,+3.21,3.0,FAIL
clang-22,halfway_ties.FP128.div,toward_zero,common,27,27,2.4661,2.4422,-0.97,3.0,PASS
clang-22,halfway_ties.FP128.mul,nearest_even,common,27,27,2.6246,2.6827,+2.21,3.0,PASS
clang-22,halfway_ties.FP128.mul,toward_zero,common,27,27,2.7157,2.5675,-5.46,3.0,PASS
clang-22,halfway_ties.FP128.mul_div,nearest_even,common,27,27,4.9326,4.7939,-2.81,3.0,PASS
clang-22,halfway_ties.FP128.mul_div,toward_zero,common,27,27,3.2228,3.5252,+9.38,3.0,FAIL
clang-22,halfway_ties.FP64.div,nearest_even,common,27,27,2.4728,2.9801,+20.52,3.0,FAIL
clang-22,halfway_ties.FP64.div,toward_zero,common,27,27,2.5180,2.7110,+7.66,3.0,FAIL
clang-22,halfway_ties.FP64.mul,nearest_even,common,27,27,2.5610,2.5543,-0.26,3.0,PASS
clang-22,halfway_ties.FP64.mul,toward_zero,common,27,27,2.5117,2.4184,-3.72,3.0,PASS
clang-22,halfway_ties.FP64.mul_div,nearest_even,common,27,27,2.4489,3.0212,+23.37,3.0,FAIL
clang-22,halfway_ties.FP64.mul_div,toward_zero,common,27,27,2.5314,2.6443,+4.46,3.0,FAIL
clang-22,inexact_chain.FP128.div,nearest_even,common,27,27,5.3960,5.3362,-1.11,3.0,PASS
clang-22,inexact_chain.FP128.div,toward_zero,common,27,27,4.0428,3.9742,-1.70,3.0,PASS
clang-22,inexact_chain.FP128.mul,nearest_even,common,27,27,5.1108,4.8194,-5.70,3.0,PASS
clang-22,inexact_chain.FP128.mul,toward_zero,common,27,27,3.6656,3.6702,+0.13,3.0,PASS
clang-22,inexact_chain.FP128.mul_div,nearest_even,common,27,27,5.0919,5.1149,+0.45,3.0,PASS
clang-22,inexact_chain.FP128.mul_div,toward_zero,common,27,27,3.8938,3.9251,+0.80,3.0,PASS
clang-22,inexact_chain.FP64.div,nearest_even,common,27,27,5.0864,4.8984,-3.70,3.0,PASS
clang-22,inexact_chain.FP64.div,toward_zero,common,27,27,3.7787,3.7599,-0.50,3.0,PASS
clang-22,inexact_chain.FP64.mul,nearest_even,common,27,27,4.9086,4.7817,-2.59,3.0,PASS
clang-22,inexact_chain.FP64.mul,toward_zero,common,27,27,3.6661,3.6837,+0.48,3.0,PASS
clang-22,inexact_chain.FP64.mul_div,nearest_even,common,27,27,5.0405,5.0475,+0.14,3.0,PASS
clang-22,inexact_chain.FP64.mul_div,toward_zero,common,27,27,3.6282,3.7116,+2.30,3.0,PASS
clang-22,native_by128.FP128.div,nearest_even,wide,27,27,9.9520,9.7510,-2.02,5.0,PASS
clang-22,native_by128.FP128.div,toward_zero,wide,27,27,6.0448,5.8624,-3.02,5.0,PASS
clang-22,native_by64.FP128.div,nearest_even,wide,27,27,6.3611,6.4146,+0.84,5.0,PASS
clang-22,native_by64.FP128.div,toward_zero,wide,27,27,4.0000,3.9237,-1.91,5.0,PASS
clang-22,parse_extra_digit.FP128,nearest_even,text,27,27,34.4054,26.9022,-21.81,5.0,PASS
clang-22,parse_extra_digit.FP128,toward_zero,text,27,27,33.9748,25.6126,-24.61,5.0,PASS
clang-22,parse_extra_digit.FP64,nearest_even,text,27,27,34.2032,24.6940,-27.80,5.0,PASS
clang-22,parse_extra_digit.FP64,toward_zero,text,27,27,33.7196,24.5144,-27.30,5.0,PASS
clang-22,throughput256.FP128.div,nearest_even,common,27,27,3.2957,3.4068,+3.37,3.0,FAIL
clang-22,throughput256.FP128.div,toward_zero,common,27,27,2.4676,2.3658,-4.12,3.0,PASS
clang-22,throughput256.FP128.mul,nearest_even,common,27,27,2.6282,2.6790,+1.93,3.0,PASS
clang-22,throughput256.FP128.mul,toward_zero,common,27,27,2.7508,2.5905,-5.83,3.0,PASS
clang-22,throughput256.FP128.mul_div,nearest_even,common,27,27,4.9224,4.7763,-2.97,3.0,PASS
clang-22,throughput256.FP128.mul_div,toward_zero,common,27,27,3.2231,3.5091,+8.87,3.0,FAIL
clang-22,throughput256.FP64.div,nearest_even,common,27,27,2.4418,2.9737,+21.78,3.0,FAIL
clang-22,throughput256.FP64.div,toward_zero,common,27,27,2.3847,2.4723,+3.67,3.0,FAIL
clang-22,throughput256.FP64.mul,nearest_even,common,27,27,2.7251,2.5665,-5.82,3.0,PASS
clang-22,throughput256.FP64.mul,toward_zero,common,27,27,2.4943,2.4153,-3.16,3.0,PASS
clang-22,throughput256.FP64.mul_div,nearest_even,common,27,27,2.4130,3.0034,+24.47,3.0,FAIL
clang-22,throughput256.FP64.mul_div,toward_zero,common,27,27,2.5051,2.6063,+4.04,3.0,FAIL
clang-22,throughput4096.FP128.div,nearest_even,common,27,27,3.2847,3.3984,+3.46,3.0,FAIL
clang-22,throughput4096.FP128.div,toward_zero,common,27,27,2.4547,2.3351,-4.87,3.0,PASS
clang-22,throughput4096.FP128.mul,nearest_even,common,27,27,2.6244,2.6809,+2.15,3.0,PASS
clang-22,throughput4096.FP128.mul,toward_zero,common,27,27,2.7278,2.5943,-4.89,3.0,PASS
clang-22,throughput4096.FP128.mul_div,nearest_even,common,27,27,4.9140,4.7850,-2.62,3.0,PASS
clang-22,throughput4096.FP128.mul_div,toward_zero,common,27,27,3.2185,3.5110,+9.09,3.0,FAIL
clang-22,throughput4096.FP128.quantize4,nearest_even,common,27,27,6.0550,4.7104,-22.21,3.0,PASS
clang-22,throughput4096.FP128.quantize4,toward_zero,common,27,27,5.6926,3.7717,-33.74,3.0,PASS
clang-22,throughput4096.FP64.div,nearest_even,common,27,27,2.4615,2.9726,+20.76,3.0,FAIL
clang-22,throughput4096.FP64.div,toward_zero,common,27,27,2.3858,2.4526,+2.80,3.0,PASS
clang-22,throughput4096.FP64.mul,nearest_even,common,27,27,2.6712,2.5772,-3.52,3.0,PASS
clang-22,throughput4096.FP64.mul,toward_zero,common,27,27,2.5111,2.4352,-3.02,3.0,PASS
clang-22,throughput4096.FP64.mul_div,nearest_even,common,27,27,2.4345,3.0173,+23.94,3.0,FAIL
clang-22,throughput4096.FP64.mul_div,toward_zero,common,27,27,2.5128,2.6184,+4.20,3.0,FAIL
clang-22,throughput4096.FP64.mul_wide,nearest_even,common,27,27,2.4096,2.4684,+2.44,3.0,PASS
clang-22,throughput4096.FP64.mul_wide,toward_zero,common,27,27,2.5582,2.5416,-0.65,3.0,PASS
clang-22,throughput4096.FP64.quantize4,nearest_even,common,27,27,3.2122,2.8567,-11.07,3.0,PASS
clang-22,throughput4096.FP64.quantize4,toward_zero,common,27,27,3.1626,2.1402,-32.33,3.0,PASS
clang-22,wide_by128.FP128.div,nearest_even,wide,27,27,13.6202,13.5030,-0.86,5.0,PASS
clang-22,wide_by128.FP128.div,toward_zero,wide,27,27,12.2821,12.9953,+5.81,5.0,FAIL
clang-22,wide_by64.FP128.div,nearest_even,wide,27,27,7.8810,7.9062,+0.32,5.0,PASS
clang-22,wide_by64.FP128.div,toward_zero,wide,27,27,6.4259,6.5019,+1.18,5.0,PASS
clang-22,wide_product.FP128.mul,nearest_even,wide,27,27,6.5633,7.3099,+11.37,5.0,FAIL
clang-22,wide_product.FP128.mul,toward_zero,wide,27,27,5.9230,6.1890,+4.49,5.0,PASS
clang-22,wide_product.FP128.mul_div,nearest_even,wide,27,27,13.2528,13.1639,-0.67,5.0,PASS
clang-22,wide_product.FP128.mul_div,toward_zero,wide,27,27,12.1052,12.3602,+2.11,5.0,PASS
